,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
pixel_0_0,0,1.34097e-16,1.26023e-16,-1.62374e-16,8.36564e-17,-2.22566e-17,4.30525e-17,4.61581e-17,-6.68794e-17,-1.30315e-16,-3.92738e-17,9.9532e-17,1.02115e-16,-1.18219e-16,-1.06498e-16,-7.70681e-17,-1.44849e-16,3.30357e-17,3.79584e-17
pixel_0_1,-0.493877,0.113603,0.0535518,0.354801,-0.0516419,0.371602,0.168019,-0.180558,-0.289222,0.0802209,-0.065247,-0.25584,0.157009,-0.0478784,-0.149757,0.0888539,0.177863,-0.0650888,-0.135431
pixel_0_2,-0.774738,0.14389,-0.128946,0.310945,-0.0252949,0.192169,0.00744603,-0.00892035,-0.16261,0.0106207,-0.192283,0.0562553,0.0370795,0.0457528,0.116441,0.0233915,-0.0217141,0.0168496,-0.0229495
pixel_0_3,-0.597229,-0.0502533,-0.0918625,0.334187,0.0752946,-0.161083,-0.362533,0.0480942,0.137662,-0.0287775,-0.202895,0.237184,0.0754351,0.213749,0.0516984,0.0826385,0.0244701,0.0114661,0.0252817
pixel_0_4,0.0682126,0.376612,-0.152252,-1.43402e-05,-0.241147,-0.149955,0.0614261,-0.0664326,0.125911,0.00711496,0.212951,0.0744479,0.0854045,0.186903,-0.342947,0.313919,-0.049615,-0.330379,0.208783
pixel_0_5,0.0257387,0.662217,-0.206796,-0.00103006,0.0137556,-0.131881,0.226454,-0.115562,-0.0866158,-0.219345,0.361305,-0.0316458,0.139669,0.0387445,-0.106469,0.108822,-0.103767,-0.148144,0.0520555
pixel_0_6,0.142218,0.603274,-0.0853118,0.0870296,0.363802,0.0483804,0.0563972,-0.153633,-0.0513695,-0.251382,0.19767,-0.136493,0.212079,0.0569028,-0.00331958,-0.139086,-0.196419,0.0644716,-0.0495927
pixel_0_7,0.169911,0.352283,-0.0511863,0.0174253,0.485369,0.253202,-0.152185,-0.115023,0.213848,-0.0873332,-0.0568416,-0.152917,0.0111831,0.10019,-0.0923566,-0.240446,-0.230537,0.146976,0.0416243
pixel_1_0,-0.094061,-0.00248064,0.00638565,0.0286832,-0.00108461,-0.0374468,0.121395,0.031422,0.203925,0.274191,0.124233,-0.196977,-0.0594361,0.164613,-0.0635404,0.394876,-0.189921,0.546495,0.227929
pixel_1_1,-0.665427,0.0667139,-0.114969,0.247021,0.0116949,0.104415,0.192759,-0.0348192,-0.0232329,0.278762,0.00639858,-0.120386,-0.0550999,-0.0182501,-0.276767,0.105848,-0.0723656,0.110213,-0.0485779
