,pixel_0_0,pixel_0_1,pixel_0_2,pixel_0_3,pixel_0_4,pixel_0_5,pixel_0_6,pixel_0_7,pixel_1_0,pixel_1_1,pixel_1_2,pixel_1_3,pixel_1_4,pixel_1_5,pixel_1_6,pixel_1_7,pixel_2_0,pixel_2_1,pixel_2_2,pixel_2_3,pixel_2_4,pixel_2_5,pixel_2_6,pixel_2_7,pixel_3_0,pixel_3_1,pixel_3_2,pixel_3_3,pixel_3_4,pixel_3_5,pixel_3_6,pixel_3_7,pixel_4_0,pixel_4_1,pixel_4_2,pixel_4_3,pixel_4_4,pixel_4_5,pixel_4_6,pixel_4_7,pixel_5_0,pixel_5_1,pixel_5_2,pixel_5_3,pixel_5_4,pixel_5_5,pixel_5_6,pixel_5_7,pixel_6_0,pixel_6_1,pixel_6_2,pixel_6_3,pixel_6_4,pixel_6_5,pixel_6_6,pixel_6_7,pixel_7_0,pixel_7_1,pixel_7_2,pixel_7_3,pixel_7_4,pixel_7_5,pixel_7_6,pixel_7_7
pixel_0_0,-3.79692e-33,3.0168e-18,1.70481e-18,-1.3115e-18,9.53443e-19,1.56626e-18,4.89262e-19,-1.66752e-18,5.21751e-20,7.36256e-19,-2.69125e-20,-8.89996e-19,1.0834e-18,1.27893e-18,-1.75319e-20,-2.1343e-18,-7.48721e-19,2.69743e-19,6.10211e-19,1.43199e-18,-5.6139e-19,5.15723e-19,6.02592e-19,-2.11785e-18,-8.87316e-19,7.41396e-19,1.71911e-18,8.34363e-19,-2.51238e-18,6.52313e-19,2.34815e-18,-2.4599e-19,0,1.74964e-18,6.99005e-19,-3.60341e-18,-5.62192e-18,-7.74742e-19,2.34621e-18,0,2.86444e-18,3.49696e-18,1.44686e-18,-2.05749e-18,-1.67637e-18,9.01153e-19,1.57703e-19,2.10747e-18,2.39387e-18,5.16996e-18,3.03319e-18,-1.41944e-18,1.1162e-18,1.31831e-18,-1.56435e-18,9.30774e-19,7.97495e-19,3.31483e-18,1.67046e-18,-1.2104e-18,2.74623e-19,-6.27799e-19,-9.08195e-19,-3.18469e-19
pixel_0_1,3.0168e-18,0.981726,0.550007,0.210005,-0.0190933,0.0590735,0.0471374,-0.0362724,0.0349578,0.548126,0.225281,-0.109575,0.0260799,-0.061997,-0.0315107,-0.0430706,-0.00500487,0.210521,-0.111599,-0.106475,0.0977955,-0.167972,-0.133694,-0.040366,-0.013027,-0.0856534,-0.14601,0.0739044,0.0434946,-0.207169,-0.152275,-0.0154262,0,-0.168526,-0.179735,0.0416396,-0.0606615,-0.236655,-0.173217,0,-0.0186283,-0.123998,-0.142795,0.0220343,-0.0559692,-0.1641,-0.0864578,-0.0289289,-0.0101271,0.221724,0.115559,0.0206791,0.0279532,-0.0110418,0.0290374,-0.0454386,-0.00790162,0.837404,0.549121,0.151751,-0.101126,-0.0306536,0.0255913,-0.0411918
pixel_0_2,1.70481e-18,0.550007,0.990579,0.55436,-0.0810592,0.045186,0.00303738,-0.0615254,0.0228502,0.578084,0.626676,-0.283619,0.0306812,0.0655302,-0.0884008,-0.100099,-0.0160456,0.279002,-0.08328,-0.309527,0.207565,-0.0845738,-0.217514,-0.119129,-0.0358375,-0.151541,-0.308887,0.105935,0.19813,-0.193302,-0.192713,-0.0513436,0,-0.343503,-0.394192,-0.0546037,-0.118922,-0.279249,-0.183071,0,-0.0678044,-0.268699,-0.338929,-0.154766,-0.202642,-0.189867,-0.0674189,-0.0651899,-0.0377729,0.202074,0.260601,-0.040071,-0.0531275,0.082655,0.0527929,-0.00493412,-0.0237092,0.508931,0.92854,0.494013,-0.132902,-0.0375144,0.0740523,0.0808664
pixel_0_3,-1.3115e-18,0.210005,0.55436,0.98599,0.0228184,-0.167508,-0.112824,-0.0399602,0.0353889,0.328213,0.588361,-0.00618462,-0.067287,0.0231342,-0.176319,-0.11347,0.0226949,0.190049,0.0401204,-0.356011,0.0691043,-0.0183408,-0.223441,-0.149878,-0.00241178,-0.106154,-0.252322,-0.0557289,0.0893711,-0.182072,-0.142048,-0.0683279,0,-0.22643,-0.223939,0.015886,-0.0792729,-0.227169,-0.0399167,0,-0.0981771,-0.255924,-0.102803,-0.0251369,-0.241969,-0.214474,0.0874619,0.0437638,-0.0616573,0.0169757,0.296431,0.274608,-0.180654,0.0223016,0.139326,0.0734372,-0.046919,0.178413,0.554483,0.754054,-0.0648372,-0.0499662,0.0563258,0.0814957
pixel_0_4,9.53443e-19,-0.0190933,-0.0810592,0.0228184,0.975049,0.494859,0.128573,0.0148873,0.0408348,0.0489547,0.015775,-0.13467,0.153763,0.38063,0.134611,0.017119,0.0109513,0.0351802,-0.116498,-0.151208,-0.025593,0.183811,0.0807439,0.0224534,0.0105693,0.0268689,-0.0592935,0.0380723,0.0954129,0.129121,0.077903,0.00788744,0,-0.0269998,-0.0179798,0.0251107,0.0707621,0.0913824,0.0497949,0,0.0223783,-0.0165869,-0.0952646,-0.0363766,0.052401,0.0722316,-0.092382,-0.0441166,0.0218603,-0.0160341,-0.162977,-0.0457181,0.0280705,-0.122401,-0.263181,-0.211952,0.021531,-0.0451571,-0.018591,-0.00980938,-0.0844608,-0.214209,-0.246883,-0.211018
pixel_0_5,1.56626e-18,0.0590735,0.045186,-0.167508,0.494859,0.98418,0.597781,0.153838,0.00160699,0.0379497,0.0727388,-0.196742,-0.0516021,0.531302,0.527295,0.111222,-0.0231757,0.0674328,-0.0510074,-0.192734,-0.0743165,0.21227,0.16111,-0.000426111,-0.0209512,0.0343347,-0.0432473,0.100676,0.158503,0.165026,0.00421961,-0.0298068,0,-0.186285,-0.139916,-0.0140649,0.0847822,0.0724624,-0.081144,0,-0.0353951,-0.161763,-0.331623,-0.165535,0.11785,0.021738,-0.253618,-0.0876292,-0.0106614,-0.0446132,-0.296067,-0.162359,0.0304466,-0.158622,-0.348045,-0.188977,0.031895,0.0621684,0.0977028,-0.0656797,-0.348856,-0.268179,-0.266073,-0.165408
pixel_0_6,4.89262e-19,0.0471374,0.00303738,-0.112824,0.128573,0.597781,0.984452,0.476796,-0.0230887,-0.0416607,-0.00544029,0.00299285,-0.0725552,0.191378,0.719159,0.359365,-0.0174114,-0.0314423,0.0230786,-0.0833267,-0.152343,0.0663144,0.296608,0.126054,-0.0127991,-0.00136928,0.0148073,0.0205413,0.0378571,0.13879,0.0767987,0.021173,0,-0.126992,-0.0579161,0.0276292,0.0848019,0.0841483,-0.0519104,0,-0.0283076,-0.120349,-0.228944,-0.0457051,0.163404,-0.0533791,-0.226401,-0.0389269,-0.0102775,-0.0471887,-0.270991,-0.0627647,0.0419894,-0.268112,-0.265895,-0.0862786,-0.000697132,0.060632,0.0393084,-0.0445056,-0.378107,-0.302864,-0.178475,-0.078624
pixel_0_7,-1.66752e-18,-0.0362724,-0.0615254,-0.0399602,0.0148873,0.153838,0.476796,0.982465,-0.0109056,-0.0590844,-0.0437904,0.0584048,-0.0303943,0.0375414,0.407556,0.696457,-0.00565951,-0.0686374,-0.0111386,-0.0214026,-0.082264,0.0268715,0.306952,0.279214,-0.00150073,-0.0516345,-0.0230657,-0.0493546,-0.0294167,0.119862,0.124627,0.154146,0,-0.0555345,-0.0206774,0.00237266,0.0380104,0.0679735,-0.00463425,0,-0.00910887,-0.048463,-0.0695232,0.00236595,0.0815727,-0.0638119,-0.0935191,-0.00893379,-0.00239105,-0.0493237,-0.131296,0.00159638,0.00517733,-0.157745,-0.0966377,-0.023825,-0.00149344,-0.0323285,-0.0496706,0.000297916,-0.175805,-0.140609,-0.0629539,-0.0225924
pixel_1_0,5.21751e-20,0.0349578,0.0228502,0.0353889,0.0408348,0.00160699,-0.0230887,-0.0109056,0.969405,0.213299,0.0408373,-0.030633,0.0133413,0.026339,-0.027929,-0.00958711,0.276914,0.135658,-0.0339039,-0.0194764,0.0438331,-0.00743694,-0.0314228,-0.00438742,0.00863531,0.0155266,-0.00315868,0.0236612,0.0233623,-0.0518661,-0.0361926,0.00614422,0,-0.0342639,-0.0303831,0.0277469,-0.00337109,-0.0592425,-0.0406206,0,-0.00125032,-0.0364829,-0.0138386,0.0193844,0.00307208,-0.0173806,-0.0177743,-0.00941613,0.00495101,-0.0234181,0.0173712,-0.00990492,-0.0139722,0.0145394,0.00994241,0.00995984,-0.00212411,0.0122288,0.0262428,0.0434022,0.0450373,0.0302184,0.0197736,-0.0036811
pixel_1_1,7.36256e-19,0.548126,0.578084,0.328213,0.0489547,0.0379497,-0.0416607,-0.0590844,0.213299,0.987152,0.494899,-0.251424,0.055166,0.0252051,-0.116065,-0.075329,0.0877409,0.598942,-0.0697778,-0.295485,0.205254,-0.093877,-0.208013,-0.073753,0.00304484,-0.0398177,-0.224231,0.053867,0.163774,-0.209904,-0.201765,-0.0309327,0,-0.283876,-0.351888,-0.0334306,-0.0897956,-0.242659,-0.158288,0,-0.0399897,-0.238102,-0.27849,-0.0674397,-0.193827,-0.17633,0.0133814,-0.0509649,-0.021545,0.0733691,0.126493,-0.0268105,-0.0692249,0.0916546,0.164333,-0.0383504,-0.0127799,0.402901,0.585854,0.306031,-0.00114453,0.0696759,0.109775,0.000447536
